[1/33] ---- Running throughput benchmarks (higher is better) ----
            OptimistAtomicQueue2, 5,i:  13,769,840 msg/sec
            OptimistAtomicQueue2, 6,i:  14,072,691 msg/sec
            OptimistAtomicQueue2, 7,i:  14,348,045 msg/sec
            OptimistAtomicQueue2, 8,i:   9,817,196 msg/sec
            OptimistAtomicQueue2, 9,i:  10,115,707 msg/sec
            OptimistAtomicQueue2,10,i:  10,352,606 msg/sec
            OptimistAtomicQueue2,11,i:  11,845,648 msg/sec
            OptimistAtomicQueue2,12,i:  10,866,870 msg/sec
            OptimistAtomicQueue2,13,i:  11,074,935 msg/sec
            OptimistAtomicQueue2,14,i:  11,306,987 msg/sec
           OptimistAtomicQueueB2, 1,s:   4,903,541 msg/sec
           OptimistAtomicQueueB2, 1,i:   4,891,442 msg/sec
           OptimistAtomicQueueB2, 2,s:   4,634,226 msg/sec
           OptimistAtomicQueueB2, 3,s:   4,731,281 msg/sec
           OptimistAtomicQueueB2, 4,s:   4,797,550 msg/sec
           OptimistAtomicQueueB2, 5,s:   4,929,507 msg/sec
           OptimistAtomicQueueB2, 6,s:   4,961,491 msg/sec
           OptimistAtomicQueueB2, 7,s:   4,970,077 msg/sec
           OptimistAtomicQueueB2, 8,s:   3,423,557 msg/sec
           OptimistAtomicQueueB2, 9,s:   3,301,940 msg/sec
           OptimistAtomicQueueB2,10,s:   3,280,276 msg/sec
           OptimistAtomicQueueB2,11,s:   3,297,791 msg/sec
           OptimistAtomicQueueB2,12,s:   3,331,104 msg/sec
           OptimistAtomicQueueB2,13,s:   3,379,118 msg/sec
           OptimistAtomicQueueB2,14,s:   3,470,724 msg/sec
           OptimistAtomicQueueB2, 2,i:   4,632,711 msg/sec
           OptimistAtomicQueueB2, 3,i:   4,771,945 msg/sec
           OptimistAtomicQueueB2, 4,i:   4,840,779 msg/sec
           OptimistAtomicQueueB2, 5,i:   4,955,849 msg/sec
           OptimistAtomicQueueB2, 6,i:   4,964,387 msg/sec
           OptimistAtomicQueueB2, 7,i:   4,998,663 msg/sec
           OptimistAtomicQueueB2, 8,i:   4,269,408 msg/sec
           OptimistAtomicQueueB2, 9,i:   4,129,645 msg/sec
           OptimistAtomicQueueB2,10,i:   3,964,605 msg/sec
           OptimistAtomicQueueB2,11,i:   3,622,245 msg/sec
