
2026-04-28 08:52:27 [1/33] Using 32 available CPUs: [0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31].
---- Running throughput benchmarks with up to 32 CPUs (higher is better) ----
         xenium::ramalhete_queue,11,i:  12,144,817 msg/sec
         xenium::ramalhete_queue,12,s:  11,403,253 msg/sec
         xenium::ramalhete_queue,12,i:  12,843,171 msg/sec
         xenium::ramalhete_queue,13,s:  11,568,815 msg/sec
         xenium::ramalhete_queue,13,i:  12,370,023 msg/sec
         xenium::ramalhete_queue,14,s:  11,641,542 msg/sec
         xenium::ramalhete_queue,14,i:  12,626,122 msg/sec
         xenium::ramalhete_queue,15,s:  11,587,503 msg/sec
         xenium::ramalhete_queue,15,i:  12,824,955 msg/sec
         xenium::ramalhete_queue,16,s:  11,564,469 msg/sec
         xenium::ramalhete_queue,16,i:  13,148,189 msg/sec
    xenium::vyukov_bounded_queue, 1,s:  92,756,427 msg/sec
    xenium::vyukov_bounded_queue, 1,i:  36,678,968 msg/sec
    xenium::vyukov_bounded_queue, 2,s:   7,257,247 msg/sec
    xenium::vyukov_bounded_queue, 2,i:   6,464,463 msg/sec
    xenium::vyukov_bounded_queue, 3,s:   3,230,108 msg/sec
    xenium::vyukov_bounded_queue, 3,i:   3,386,145 msg/sec
    xenium::vyukov_bounded_queue, 4,s:   3,234,771 msg/sec
    xenium::vyukov_bounded_queue, 4,i:   3,525,213 msg/sec
    xenium::vyukov_bounded_queue, 5,s:   1,918,628 msg/sec
    xenium::vyukov_bounded_queue, 5,i:   3,080,543 msg/sec
    xenium::vyukov_bounded_queue, 6,s:   1,982,523 msg/sec
    xenium::vyukov_bounded_queue, 6,i:   2,252,904 msg/sec
    xenium::vyukov_bounded_queue, 7,s:   1,886,432 msg/sec
    xenium::vyukov_bounded_queue, 7,i:   2,174,108 msg/sec
    xenium::vyukov_bounded_queue, 8,s:   2,630,672 msg/sec
    xenium::vyukov_bounded_queue, 8,i:   1,909,817 msg/sec
    xenium::vyukov_bounded_queue, 9,s:   1,930,387 msg/sec
    xenium::vyukov_bounded_queue, 9,i:   1,939,323 msg/sec
    xenium::vyukov_bounded_queue,10,s:   2,130,506 msg/sec
    xenium::vyukov_bounded_queue,10,i:   1,981,719 msg/sec
    xenium::vyukov_bounded_queue,11,s:   2,145,466 msg/sec
    xenium::vyukov_bounded_queue,11,i:   2,166,073 msg/sec
    xenium::vyukov_bounded_queue,12,s:   2,195,850 msg/sec
    xenium::vyukov_bounded_queue,12,i:   2,214,723 msg/sec
    xenium::vyukov_bounded_queue,13,s:   2,091,263 msg/sec
    xenium::vyukov_bounded_queue,13,i:   2,133,375 msg/sec
    xenium::vyukov_bounded_queue,14,s:   2,081,975 msg/sec
    xenium::vyukov_bounded_queue,14,i:   2,175,398 msg/sec
    xenium::vyukov_bounded_queue,15,s:   2,103,612 msg/sec
    xenium::vyukov_bounded_queue,15,i:   2,122,256 msg/sec
    xenium::vyukov_bounded_queue,16,s:   2,031,835 msg/sec
    xenium::vyukov_bounded_queue,16,i:   2,072,102 msg/sec
                     AtomicQueue, 1,s:  26,935,947 msg/sec
                     AtomicQueue, 1,i:  25,901,491 msg/sec
                     AtomicQueue, 2,s:   2,881,440 msg/sec
                     AtomicQueue, 2,i:   3,056,342 msg/sec
                     AtomicQueue, 3,s:   2,465,476 msg/sec
                     AtomicQueue, 3,i:   2,607,530 msg/sec
                     AtomicQueue, 4,s:   1,957,745 msg/sec
                     AtomicQueue, 4,i:   2,064,724 msg/sec
                     AtomicQueue, 5,s:     926,915 msg/sec
                     AtomicQueue, 5,i:   1,102,707 msg/sec
                     AtomicQueue, 6,s:     760,430 msg/sec
                     AtomicQueue, 6,i:   1,159,347 msg/sec
                     AtomicQueue, 7,s:     860,922 msg/sec
                     AtomicQueue, 7,i:     940,256 msg/sec
                     AtomicQueue, 8,s:     910,125 msg/sec
                     AtomicQueue, 8,i:     847,091 msg/sec
                     AtomicQueue, 9,s:     853,386 msg/sec
                     AtomicQueue, 9,i:     860,760 msg/sec
                     AtomicQueue,10,s:     816,227 msg/sec
                     AtomicQueue,10,i:     848,811 msg/sec
                     AtomicQueue,11,s:     832,963 msg/sec
                     AtomicQueue,11,i:     845,739 msg/sec
                     AtomicQueue,12,s:     809,786 msg/sec
                     AtomicQueue,12,i:     839,513 msg/sec
